ID,Waypoint,Latitude,Longitude
WADDWIII10,TERUD,S 08 24.3,E 114 21.6
WADDWIII10,ONILI,S 05 57.6,E 106 47.3
WADDWIII10,ODOTI,S 08 05.8,E 114 13.8
WADDWIII10,PAPAF,S 06 02.6,E 106 35.0
WADDWIII10,OKANG,S 07 45.2,E 114 05.1
WADDWIII10,ELKIT,S 06 06.6,E 106 25.2
WADDWIII10,WAWAN,S 06 16.0,E 111 48.9
WADDWIII10,NININ,S 06 10.5,E 106 25.9
WADDWIII10,FARIZ,S 05 52.3,E 111 13.2
WADDWIII10,WIII,S 06 07.4,E 106 39.7
,,,
WIIIWADD10,WIII,S 06 07.4,E 106 39.7
WIIIWADD10,06S106E,S 06 07.2,E 106 38.3
WIIIWADD10,UBNAV,S 06 04.8,E 106 29.1
WIIIWADD10,AJUNA,S 06 00.5,E 106 30.9
WIIIWADD10,RUNOV,S 05 57.8,E 106 50.2
WIIIWADD10,PEBSU,S 06 08.3,E 107 14.9
WIIIWADD10,MUTIA,S 06 27.6,E 108 00.6
WIIIWADD10,CA,S 06 41.9,E 108 33.6
WIIIWADD10,ANY,S 06 58.5,E 110 22.8
WIIIWADD10,BA,S 06 59.6,E 111 25.1
WIIIWADD10,SBR,S 07 22.4,E 112 46.3
WIIIWADD10,MOVMO,S 08 01.3,E 113 53.7
WIIIWADD10,BIGIV,S 08 23.0,E 113 55.4
WIIIWADD10,ASIGI,S 08 44.5,E 114 07.0
WIIIWADD10,GODEV,S 08 54.9,E 114 25.3
WIIIWADD10,SUPES,S 09 03.0,E 114 39.4
WIIIWADD10,GOSAN,S 09 03.2,E 114 59.0
WIIIWADD10,DAPRU,S 09 03.3,E 115 09.7
WIIIWADD10,BASIX,S 09 03.3,E 115 23.8
WIIIWADD10,BENOA,S 08 44.4,E 115 23.9
WIIIWADD10,WADD,S 08 44.8,E 115 10.2
,,,
WADDVTSP10,WADD,S 08 44.8,E 115 10.2
WADDVTSP10,08S115E,S 08 44.9,E 115 10.9
WADDVTSP10,MAMAD,S 08 45.0,E 115 27.9
WADDVTSP10,IKIMA,S 08 36.4,E 115 27.9
WADDVTSP10,SUBNI,S 08 36.5,E 115 14.2
WADDVTSP10,TOGAP,S 08 36.1,E 114 26.6
WADDVTSP10,TERUD,S 08 24.3,E 114 21.6
WADDVTSP10,ODOTI,S 08 05.8,E 114 13.8
WADDVTSP10,OKANG,S 07 45.2,E 114 05.1
WADDVTSP10,UDONO,S 07 00.3,E 113 53.5
WADDVTSP10,RAMPY,S 06 15.0,E 113 20.8
WADDVTSP10,SUMDI,S 04 37.0,E 111 13.8
WADDVTSP10,TAVIP,S 03 57.9,E 110 23.0
WADDVTSP10,RAFIS,S 02 53.6,E 109 08.2
WADDVTSP10,MASRI,S 02 29.3,E 108 40.1
WADDVTSP10,LAKUN,S 02 03.2,E 108 09.9
WADDVTSP10,GUKNO,S 01 22.0,E 107 22.2
WADDVTSP10,SURGA,S 00 37.0,E 106 31.3
WADDVTSP10,ATPOM,N 00 24.4,E 105 21.2
WADDVTSP10,INVUB,N 00 27.8,E 105 15.5
WADDVTSP10,JUNHA,N 00 54.2,E 104 30.9
WADDVTSP10,UNSID,N 01 16.0,E 104 09.9
WADDVTSP10,VTK,N 01 24.9,E 104 01.3
WADDVTSP10,PU20,N 01 45.5,E 103 58.2
WADDVTSP10,VMR,N 02 23.3,E 103 52.3
WADDVTSP10,BIKTA,N 02 43.6,E 103 43.0
WADDVTSP10,PU90,N 02 53.7,E 103 38.5
WADDVTSP10,PADLI,N 03 09.3,E 103 31.6
WADDVTSP10,VPK,N 03 23.3,E 103 25.3
WADDVTSP10,GUNBO,N 04 52.0,E 102 49.9
WADDVTSP10,LASOB,N 05 12.3,E 102 41.9
WADDVTSP10,PALNO,N 05 20.9,E 102 38.4
WADDVTSP10,GUGIT,N 05 32.5,E 102 33.8
WADDVTSP10,VKB,N 06 09.8,E 102 18.9
WADDVTSP10,PASVA,N 06 15.5,E 102 04.5
WADDVTSP10,TAXEB,N 06 46.7,E 100 46.7
WADDVTSP10,HTY,N 06 56.0,E 100 23.3
WADDVTSP10,PADPA,N 07 17.0,E 099 55.5
WADDVTSP10,TRN,N 07 30.5,E 099 37.6
WADDVTSP10,EPGOT,N 07 54.3,E 098 45.9
WADDVTSP10,SP803,N 08 01.9,E 098 31.3
WADDVTSP10,JUVEY,N 07 59.6,E 098 06.7
WADDVTSP10,RAWAI,N 07 59.1,E 098 01.7
WADDVTSP10,KALIM,N 08 05.1,E 098 01.1
WADDVTSP10,VTSP,N 08 06.8,E 098 18.6
,,,
VTSPWADD10,VTSP,N 08 06.8,E 098 18.6
VTSPWADD10,08N098E,N 08 06.8,E 098 18.2
VTSPWADD10,DER27,N 08 06.7,E 098 18.2
VTSPWADD10,SP401,N 07 53.1,E 098 14.4
VTSPWADD10,SP404,N 07 46.7,E 098 30.0
VTSPWADD10,REBED,N 07 43.5,E 098 37.6
VTSPWADD10,NUTGU,N 07 28.0,E 098 50.3
VTSPWADD10,DALAN,N 06 28.1,E 099 39.3
VTSPWADD10,VPL,N 06 21.3,E 099 44.7
VTSPWADD10,RUVTO,N 05 54.3,E 099 53.2
VTSPWADD10,ANGUN,N 05 08.2,E 100 07.6
VTSPWADD10,UDIKO,N 04 53.5,E 100 11.8
VTSPWADD10,OREKA,N 04 18.4,E 100 21.8
VTSPWADD10,NIREN,N 03 30.1,E 100 32.9
VTSPWADD10,VESIS,N 03 04.8,E 100 58.7
VTSPWADD10,MITOS,N 01 58.5,E 102 06.2
VTSPWADD10,SUKRI,N 01 23.1,E 102 59.1
